"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
55.18	0.01437248	1	0.03605506	0.9429519	0.5148216	7.218369e-07	1	0.005561041	0.01134619	0.9506982	0.07770292
55.19	0.01436143	1	0.03604553	0.9429539	0.514825	7.199893e-07	1	0.005559409	0.01134336	0.9506988	0.07769967
55.2	0.0143504	1	0.036036	0.942956	0.5148284	7.181465e-07	1	0.005557777	0.01134053	0.9506994	0.07769642
55.21	0.01433937	1	0.03602648	0.942958	0.5148317	7.163084e-07	1	0.005556147	0.0113377	0.9507	0.07769317
55.22	0.01432835	1	0.03601696	0.94296	0.5148351	7.14475e-07	1	0.005554517	0.01133487	0.9507006	0.07768992
55.23	0.01431734	1	0.03600744	0.942962	0.5148385	7.126463e-07	1	0.005552888	0.01133205	0.9507012	0.07768668
55.24	0.01430633	1	0.03599793	0.942964	0.5148419	7.108223e-07	1	0.00555126	0.01132922	0.9507017	0.07768343
55.25	0.01429534	1	0.03598842	0.9429661	0.5148453	7.090029e-07	1	0.005549632	0.0113264	0.9507023	0.07768018
55.26	0.01428435	1	0.03597891	0.9429681	0.5148486	7.071882e-07	1	0.005548005	0.01132357	0.9507029	0.07767694
55.27	0.01427337	1	0.03596941	0.9429701	0.514852	7.053782e-07	1	0.005546379	0.01132075	0.9507035	0.07767369
55.28	0.0142624	1	0.03595992	0.9429721	0.5148554	7.035727e-07	1	0.005544754	0.01131793	0.9507041	0.07767045
55.29	0.01425144	1	0.03595042	0.9429742	0.5148588	7.017719e-07	1	0.00554313	0.01131511	0.9507047	0.07766721
55.3	0.01424049	1	0.03594094	0.9429762	0.5148621	6.999757e-07	1	0.005541506	0.01131229	0.9507053	0.07766396
55.31	0.01422954	1	0.03593145	0.9429782	0.5148655	6.981842e-07	1	0.005539883	0.01130947	0.9507059	0.07766072
55.32	0.01421861	1	0.03592197	0.9429802	0.5148689	6.963971e-07	1	0.005538261	0.01130666	0.9507065	0.07765748
55.33	0.01420768	1	0.03591249	0.9429822	0.5148722	6.946147e-07	1	0.005536639	0.01130384	0.9507071	0.07765424
55.34	0.01419676	1	0.03590302	0.9429842	0.5148756	6.928368e-07	1	0.005535018	0.01130103	0.9507077	0.077651
55.35	0.01418585	1	0.03589355	0.9429863	0.514879	6.910635e-07	1	0.005533399	0.01129822	0.9507083	0.07764776
55.36	0.01417495	1	0.03588409	0.9429883	0.5148823	6.892947e-07	1	0.005531779	0.0112954	0.9507089	0.07764452
55.37	0.01416405	1	0.03587463	0.9429903	0.5148857	6.875305e-07	1	0.005530161	0.01129259	0.9507094	0.07764128
55.38	0.01415317	1	0.03586517	0.9429923	0.5148891	6.857707e-07	1	0.005528543	0.01128978	0.95071	0.07763804
55.39	0.01414229	1	0.03585571	0.9429943	0.5148924	6.840155e-07	1	0.005526926	0.01128698	0.9507106	0.07763481
55.4	0.01413142	1	0.03584627	0.9429963	0.5148958	6.822648e-07	1	0.00552531	0.01128417	0.9507112	0.07763157
